"","BARANG","BARDIA","OCCAGE","OCCWT","HH","HW","HR","HS","CD","CS","AD","HD","KD","HB","NB","CB","KB","TEMP","IMPANG","OFFSET","IMPPNT","ENGDSP","VEHTWT","CURBWT","WHLBAS","VEHLEN","VEHWID","VEHCG","BX1","BX2","BX3","BX4","BX5","BX6","BX7","BX8","BX9","BX10","BX11","BX12","BX13","BX14","BX15","BX16","BX17","BX18","BX19","BX20","BX21","VEHSPD","CRBANG","PDOF","CARANG","VEHOR"
"AD",-0.0122686470229696,-0.131944191607458,0.229224241945238,0.166505497698506,0.87158209925396,0.765598623171906,0.958229585066143,0.932595739555023,0.41158141002356,0.79893679425568,1,0.977437909438907,0.754026939231463,-0.0667676916349409,-0.0670922608820783,-0.0670922608820783,-0.0673086392447599,0.0246659080339426,-0.00654783881994451,0.133414599115117,0.0899296498779979,0.102616042952309,0.0417645935542407,0.0720118342684185,0.35394238620378,0.110355107802708,0.020132994325798,0.601541558348635,0.470344971137869,0.442341060328173,0.441447449435213,0.442341060328173,0.448299177037744,0.443239084562929,0.44920657374838,0.443239084562929,0.44920657374838,0.444141560421476,0.44920657374838,0.444141560421476,0.444141560421476,0.444141560421476,0.441447449435213,0.443239084562929,0.443239084562929,0.436382943618601,0.46520611061901,0.46520611061901,0.439673316842501,-0.00327241956134351,0.359808370945065,0.368175222919247,-0.0461978370275015,-0.0466425245504839
"HD",-0.0125518428377843,-0.132196681531554,0.234975447860812,0.170647425210546,0.862045088334458,0.748306815809495,0.963806883049688,0.93799206308853,0.400012020361728,0.780766657764062,0.977437909438907,1,0.736960382638247,-0.0687341374252123,-0.0690660370273932,-0.0690660370273932,-0.0692873031935973,0.0234531259398758,-0.00669898185522931,0.132035763478819,0.0960253671096345,0.0997500544654391,0.0405981400364328,0.0736740754302813,0.345710172913111,0.107682186500356,0.0183218687875038,0.587610104746597,0.464161902382916,0.436314026711415,0.435425192574745,0.436314026711415,0.442146930550219,0.43720723730793,0.443049316655238,0.43720723730793,0.443049316655238,0.438104862315765,0.443049316655238,0.438104862315765,0.438104862315765,0.438104862315765,0.435425192574745,0.43720723730793,0.43720723730793,0.430481122872611,0.459052553973722,0.459052553973722,0.433660504150537,-0.00334795645814681,0.351537354108286,0.359743416836777,-0.0470698508294007,-0.0475250240992387
"KD",-0.00968031078478398,-0.0933200002563782,0.176043191656663,0.132483891548203,0.845272351631726,0.970497350172206,0.750523592845104,0.730435488762983,0.411221512714721,0.845272351631726,0.754026939231463,0.736960382638247,1,-0.00858135302820708,-0.00454675650777396,-0.00885421004145455,-0.00472964676721312,0.0381387111395085,-0.00516643070968341,0.122800264785859,0.0288292428345524,0.0615657751677478,0.0552808085936125,0.0568193815174184,0.384682376720282,0.0430405609189678,0.0268218905181727,0.738457168905419,0.457380413128921,0.43867678958671,0.437831435304955,0.43867678958671,0.446131427841124,0.439526392267285,0.446992757115963,0.439526392267285,0.446992757115963,0.440380280256461,0.446992757115963,0.440380280256461,0.440380280256461,0.440380280256461,0.437831435304955,0.439526392267285,0.439526392267285,0.43867678958671,0.460330822664744,0.460330822664744,0.436153326514917,-0.00258203193169576,0.457617772123156,0.467928492762638,0.00379030917037356,0.00339366662019823
"HB",0.0802561178869086,0.947757700369158,0.360067008238794,0.74277261323726,-0.0405873652899488,-0.00957911536146566,-0.0609923628410701,-0.0541250132494764,0.302260720538802,-0.0137568821296978,-0.0667676916349409,-0.0687341374252123,-0.00858135302820708,1,0.996823013154234,0.996823013154234,0.996827043037709,0.0880837696234904,-0.0106973803032965,0.293438913497581,0.721989950961286,-0.0043627523041481,-0.0106973803032965,0.310166683376742,-0.0326838588816301,0.00875483948595046,0.152528723138667,-0.00486575986028901,-0.165272316489918,-0.125793703557483,-0.124278368775497,-0.123593160108093,-0.123593160108093,-0.125110251712522,-0.125110251712522,-0.125110251712522,-0.125110251712522,-0.126632586216197,-0.125110251712522,-0.126632586216197,-0.126632586216197,-0.126632586216197,-0.122081268108986,-0.12731425674909,-0.125110251712522,-0.121392616658702,-0.161544957953861,-0.161544957953861,-0.119072912266015,0.021406736178725,0.105241362330738,0.0806208195048706,0.771499812504455,0.76980995431844
"NB",0.0801031926983827,0.944657112269046,0.359753792123626,0.742969727027166,-0.0408842096488383,-0.00984753513526337,-0.0613207556644316,-0.0544656533964447,0.299503155257262,-0.0140639248513111,-0.0670922608820783,-0.0690660370273932,-0.00454675650777396,0.996823013154234,1,0.998728961026515,0.998730087827175,0.0878931617361431,-0.0107586501226571,0.294367614246547,0.718536560423392,-0.00452162507409449,-0.0107586501226571,0.310767339546478,-0.0328510806204682,0.0378075979748155,0.152156675950181,-0.00515574498959538,-0.163448589757188,-0.119726910384918,-0.11822357960052,-0.117527203369972,-0.117527203369972,-0.119032232554799,-0.119032232554799,-0.119032232554799,-0.119032232554799,-0.12054244438977,-0.119032232554799,-0.12054244438977,-0.12054244438977,-0.12054244438977,-0.11602731405984,-0.12123539984116,-0.12123539984116,-0.115327496355026,-0.155171739121826,-0.155171739121826,-0.113042786445717,0.0213659464015461,0.105040828644349,0.0804330483115867,0.775400093810369,0.773701146648607
"CB",0.0801031926983827,0.945941978507296,0.359753792123626,0.742969727027166,-0.0408842096488383,-0.00984753513526337,-0.0613207556644316,-0.0544656533964447,0.301485161431759,-0.0140639248513111,-0.0670922608820783,-0.0690660370273932,-0.00885421004145455,0.996823013154234,0.998728961026515,1,0.998730087827175,0.0878931617361431,-0.0107586501226571,0.292573080565096,0.719783032183851,-0.00452162507409449,-0.0107586501226571,0.310767339546478,-0.0328510806204682,0.0378075979748155,0.152156675950181,-0.00515574498959538,-0.163448589757188,-0.121926617399864,-0.120419845141201,-0.119726910384918,-0.119726910384918,-0.12123539984116,-0.12123539984116,-0.12123539984116,-0.12123539984116,-0.122749090909181,-0.12123539984116,-0.122749090909181,-0.122749090909181,-0.122749090909181,-0.11822357960052,-0.123438567127521,-0.123438567127521,-0.117527203369972,-0.157460086398201,-0.157460086398201,-0.115232224781304,0.0213659464015461,0.105040828644349,0.0804330483115867,0.775400093810369,0.773701146648607
"KB",0.0800014686788929,0.94601871482378,0.359973682871779,0.74393536429157,-0.0410820635030686,-0.0100263885611423,-0.0615396698149711,-0.0546927134330302,0.302950565256878,-0.0142685191668691,-0.0673086392447599,-0.0692873031935973,-0.00472964676721312,0.996827043037709,0.998730087827175,0.998730087827175,1,0.0877663475068251,-0.0107994926049306,0.295584979142329,0.719560293722828,-0.00462748251683119,-0.0107994926049306,0.311168151679033,-0.0329625577306041,0.0377447467217901,0.151909108311065,-0.0053489567690712,-0.163772425954761,-0.120083485146455,-0.118581267720616,-0.117884330960839,-0.117884330960839,-0.119388245451969,-0.119388245451969,-0.119388245451969,-0.119388245451969,-0.120897340376736,-0.119388245451969,-0.120897340376736,-0.120897340376736,-0.120897340376736,-0.116385554144356,-0.121590859039366,-0.119388245451969,-0.115685176775223,-0.155501466618435,-0.155501466618435,-0.113403244982339,0.0213388135261268,0.10490743601741,0.0803081089544566,0.775740712237995,0.774038276132196
"TEMP",0.106580094461431,0.085331908302076,-0.0280297324230196,0.0778003881434847,0.0309245088366613,0.0390435104766917,0.0244181736179538,0.0229853940915401,0.0168032159620579,0.075900620245719,0.0246659080339426,0.0234531259398758,0.0381387111395085,0.0880837696234904,0.0878931617361431,0.0878931617361431,0.0877663475068251,1,-0.00293998581176497,0.00818885590356069,0.0813081097567073,0.0356467765901053,-0.00293998581176497,0.0323333815706409,0.0302961669812525,-0.00360183351805545,0.120065153025272,0.034828274363376,0.0295583573518533,0.0255377432149233,0.0254072876250145,0.0255377432149233,0.0255377432149233,0.0256687014323459,0.0256687014323459,0.0256687014323459,0.0256687014323459,0.025800166524168,0.0256687014323459,0.025800166524168,0.025800166524168,0.025800166524168,0.0254072876250145,0.0256687014323459,0.0256687014323459,0.0255377432149233,0.0288299218553109,0.0288299218553109,0.0251478675897971,-0.00146931947243222,0.0785171290530955,-0.00707039655702429,0.0958455904220496,0.0955133160073742
"IMPANG",-0.00229057959523467,-0.00920250722811575,0.0447443315640682,0.032350665969989,-0.00584288474659365,-0.00509050214417251,-0.00657830676637889,-0.006758624043701,-0.0123617044108537,-0.00584288474659365,-0.00654783881994451,-0.00669898185522931,-0.00516643070968341,-0.0106973803032965,-0.0107586501226571,-0.0107586501226571,-0.0107994926049306,-0.00293998581176497,1,0.0866184541761399,0.0338092336318339,0.0994969086489645,0.249083129584352,0.0134447456090178,-0.00336131890254522,-0.00149770092158441,-0.00587654027778731,-0.00546048753190695,0.0869387715164317,0.112620486960098,0.112406658579106,0.112620486960098,0.112620486960098,0.11283539597471,0.11283539597471,0.11283539597471,0.11283539597471,0.113051395016126,0.11283539597471,0.113051395016126,0.113051395016126,0.113051395016126,0.112406658579106,0.11283539597471,0.11283539597471,0.112620486960098,0.118099720146341,0.118099720146341,0.111982206709435,0.499770939897882,-0.00300368026110082,0.31112719416678,-0.0230259243350795,-0.0230925687841905
"OFFSET",0.162296487312028,0.240696311779222,0.26823855304432,0.364663851941493,0.121877495171632,0.107777529074548,0.137000245199338,0.14378951632203,0.349790300609954,0.143515543332819,0.133414599115117,0.132035763478819,0.122800264785859,0.293438913497581,0.294367614246547,0.292573080565096,0.295584979142329,0.00818885590356069,0.0866184541761399,1,0.326969145594415,0.0271977568541542,0.0362524520673301,0.155218027577331,0.0165876783875858,0.0238454593324723,-0.0409428784246484,0.0927069040860877,0.184832364193505,0.179037695973892,0.175222304845998,0.175932009673163,0.179037695973892,0.17664458316772,0.179755154899762,0.179755154899762,0.179755154899762,0.177360049705368,0.179755154899762,0.177360049705368,0.177360049705368,0.177360049705368,0.175222304845998,0.17664458316772,0.179755154899762,0.175932009673163,0.193885559319542,0.193885559319542,0.179993781781928,0.043289386256111,0.202509964576556,0.20830944752556,0.130477930681671,0.129257760395777
"IMPPNT",0.044619836070082,0.740561361995435,0.669994759255246,0.954408138431469,0.0638978113007741,0.0293848746580067,0.0911657938820403,0.0984063295512996,0.291338593799054,0.0638978113007741,0.0899296498779979,0.0960253671096345,0.0288292428345524,0.721989950961286,0.718536560423392,0.719783032183851,0.719560293722828,0.0813081097567073,0.0338092336318339,0.326969145594415,1,0.0759066550390266,0.0163172801609104,0.394018020630008,0.080135103110144,-0.0157256021625406,0.147573056717567,0.0428336887100385,0.195029954083502,0.20744582925839,0.208162024846531,0.20744582925839,0.20744582925839,0.206728135815839,0.206728135815839,0.206728135815839,0.206728135815839,0.206008933152651,0.206728135815839,0.206008933152651,0.206008933152651,0.206008933152651,0.208162024846531,0.206728135815839,0.206728135815839,0.20744582925839,0.189779966355183,0.189779966355183,0.209589967316045,0.0168968724694087,-0.0673530533996479,-0.0576943891775257,0.584940644979427,0.582857808472947
"ENGDSP",-0.00562797801024969,-0.000459786076311859,0.0951816953683533,0.0794859244685527,0.117751697730965,0.0628129838150474,0.121727356454261,0.117860451813768,0.0265762323413469,0.0957337432922301,0.102616042952309,0.0997500544654391,0.0615657751677478,-0.0043627523041481,-0.00452162507409449,-0.00452162507409449,-0.00462748251683119,0.0356467765901053,0.0994969086489645,0.0271977568541542,0.0759066550390266,1,-0.00300368026110082,0.0330338805070869,0.104473765369346,0.0800371033495724,0.0293587324832672,0.0804988496852471,0.187078357867076,0.188223725968335,0.187836785041857,0.188223725968335,0.188223725968335,0.188612565883865,0.188612565883865,0.188612565883865,0.188612565883865,0.189003321250972,0.188612565883865,0.189003321250972,0.189003321250972,0.189003321250972,0.187836785041857,0.188612565883865,0.188612565883865,0.200864581365471,0.198120592922467,0.198120592922467,0.199650380608105,0.203406110531436,-0.00738007380073801,-0.00722357587288478,-0.00202665010717441,-0.00225244017553758
"VEHTWT",-0.00229057959523467,-0.00920250722811575,0.0267278086776513,0.032350665969989,0.0479247850001502,0.0562201045628464,0.0415255614627667,0.0401508089375796,0.043265965437988,0.0479247850001502,0.0417645935542407,0.0405981400364328,0.0552808085936125,-0.0106973803032965,-0.0107586501226571,-0.0107586501226571,-0.0107994926049306,-0.00293998581176497,0.249083129584352,0.0362524520673301,0.0163172801609104,-0.00300368026110082,1,0.0134447456090178,-0.00336131890254522,-0.00149770092158441,-0.00587654027778731,0.0518746315531161,0.0869387715164317,0.0817516185463361,0.0815860849680287,0.0817516185463361,0.0817516185463361,0.0819179689746135,0.0819179689746135,0.0819179689746135,0.0819179689746135,0.0820851433377961,0.0819179689746135,0.0820851433377961,0.0820851433377961,0.0820851433377961,0.0815860849680287,0.0819179689746135,0.0819179689746135,0.0817516185463361,0.0859869476364298,0.0859869476364298,0.081257440446444,-0.000610966919190564,-0.00300368026110082,0.101749074181083,-0.0230259243350795,-0.0230925687841905
"CURBWT",0.0251913406433022,0.295746750756301,0.29860117941792,0.411938259914576,0.0642588890153436,0.0559843341947574,0.0723469147078527,0.074330008404463,0.135951576358002,0.0642588890153436,0.0720118342684185,0.0736740754302813,0.0568193815174184,0.310166683376742,0.310767339546478,0.310767339546478,0.311168151679033,0.0323333815706409,0.0134447456090178,0.155218027577331,0.394018020630008,0.0330338805070869,0.0134447456090178,1,0.0369671194404018,0.0164714180532789,0.0646290258805259,0.0540764854863334,0.112665634806636,0.119380993386944,0.119608088870964,0.119380993386944,0.119380993386944,0.119153617469746,0.119153617469746,0.119153617469746,0.119153617469746,0.118925959357689,0.119153617469746,0.118925959357689,0.118925959357689,0.118925959357689,0.119608088870964,0.119153617469746,0.119153617469746,0.119380993386944,0.113842315564829,0.113842315564829,0.120061445510746,0.00671929314970676,0.0330338805070869,0.0323333815706409,0.253234554589868,0.253967497039469
"WHLBAS",-0.00629808342583977,-0.0286079424995277,0.0900021799422983,0.0825216376932388,0.338744339319097,0.390588457571631,0.369888182116871,0.342561457463059,0.19033970992833,0.338744339319097,0.35394238620378,0.345710172913111,0.384682376720282,-0.0326838588816301,-0.0328510806204682,-0.0328510806204682,-0.0329625577306041,0.0302961669812525,-0.00336131890254522,0.0165876783875858,0.080135103110144,0.104473765369346,-0.00336131890254522,0.0369671194404018,1,0.295673609254905,0.121076481213268,0.573532198035079,0.256857322281572,0.24175604142311,0.241274339225325,0.24175604142311,0.24175604142311,0.242240134655704,0.242240134655704,0.242240134655704,0.242240134655704,0.242726639672886,0.242240134655704,0.242726639672886,0.242726639672886,0.242726639672886,0.241274339225325,0.242240134655704,0.242240134655704,0.253072810851867,0.254085365563737,0.254085365563737,0.240318026179861,-0.00167988950722154,-0.00825879568137122,-0.00808366404372167,-0.0354056817748723,-0.0356206646502946
"VEHLEN",-0.00280623339366975,0.0108156508453949,0.0253872920713724,0.0253118842126518,0.036756310693582,0.0438387345512787,0.109806748990642,0.106659187326185,0.053005971621346,0.036756310693582,0.110355107802708,0.107682186500356,0.0430405609189678,0.00875483948595046,0.0378075979748155,0.0378075979748155,0.0377447467217901,-0.00360183351805545,-0.00149770092158441,0.0238454593324723,-0.0157256021625406,0.0800371033495724,-0.00149770092158441,0.0164714180532789,0.295673609254905,1,0.123830767522147,0.0869667364387751,0.0932813763883554,0.112761506131952,0.112538985442301,0.112761506131952,0.112761506131952,0.112985135282461,0.112985135282461,0.112985135282461,0.112985135282461,0.113209882516348,0.112985135282461,0.113209882516348,0.113209882516348,0.113209882516348,0.112538985442301,0.112985135282461,0.112985135282461,0.112761506131952,0.118458266764353,0.118458266764353,0.112097231532908,-0.000748507397266165,-0.00367986682067,-0.00360183351805545,0.00287503537828095,0.00275803199591265
"VEHWID",-0.0110108388992152,0.146446242319844,-0.0158618323680409,0.136778791709351,0.0178619457136238,0.0279246960119176,0.0197637412886962,0.0376649504020992,-0.0059422836067691,0.0178619457136238,0.020132994325798,0.0183218687875038,0.0268218905181727,0.152528723138667,0.152156675950181,0.152156675950181,0.151909108311065,0.120065153025272,-0.00587654027778731,-0.0409428784246484,0.147573056717567,0.0293587324832672,-0.00587654027778731,0.0646290258805259,0.121076481213268,0.123830767522147,1,0.059496867200565,0.00612232955925302,0.00057977810021856,0.00698263178463057,0.00057977810021856,0.00057977810021856,0.00076215579042164,0.00076215579042164,0.00076215579042164,0.00076215579042164,0.000945111618070869,0.00076215579042164,0.000945111618070869,0.000945111618070869,0.000945111618070869,0.000397973832284644,0.00076215579042164,0.00076215579042164,0.00057977810021856,0.0051266990712591,0.0051266990712591,0.00660025617597311,-0.00293692405797752,-0.0144387208934101,-0.0141325410418693,0.206427429891192,0.205746380424064
"VEHCG",-0.0102312833202667,-0.0720806316205678,0.158589828627485,0.128433848784746,0.65128427904346,0.749673300413607,0.609701055145718,0.603772054812065,0.314305112674563,0.65128427904346,0.601541558348635,0.587610104746597,0.738457168905419,-0.00486575986028901,-0.00515574498959538,-0.00515574498959538,-0.0053489567690712,0.034828274363376,-0.00546048753190695,0.0927069040860877,0.0428336887100385,0.0804988496852471,0.0518746315531161,0.0540764854863334,0.573532198035079,0.0869667364387751,0.059496867200565,1,0.436559335692094,0.411118661569088,0.41030737045354,0.411118661569088,0.411118661569088,0.411933994036692,0.411933994036692,0.411933994036692,0.411933994036692,0.41275340293922,0.411933994036692,0.41275340293922,0.41275340293922,0.41275340293922,0.41030737045354,0.411933994036692,0.411933994036692,0.418189498500252,0.431888556250449,0.431888556250449,0.408696774052318,-0.0027289929861218,0.432681317058203,0.442490371010104,0.032276655822507,0.0318252822588386
